,comment,timestamp
444, mang lên ngủ bao sướng',07/09/2024
445, 'Ngọc Ahn mang ô đi kẻo mưa nó hắt nắng nó chói',20/08/2024
446, 'Linh Ngọc tương lai sáng chói thế còn gì',28/10/2024
447, 'Nghỉ mấy hôm cho trường sửa sang lại vậy...',18/07/2024
448, 'Lâm Lương Phúc sinh viên chủ động thôi,26/10/2024
449, lớn r phải biết ý',20/08/2024
450, 'Hoang tàn gần bằng PTIT nam kì',19/08/2024
451, 'Đặng Sỹ Khang ôi PTIT:((',28/10/2024
452, 'Hoai Anh ôi khôm:<',10/10/2024
453, ':((( sad quá tr quá đất',04/07/2024
454, 'Long Ha dấu hiệu học phí tăng',14/09/2024
455, 'Cá vàng ở đá thần k biết sao rồi Thu Hòa',13/07/2024
456, 'Nguyễn Mạnh Hùng anh ơi anh có nhiều vc để làm rồi',03/09/2024
457, 'Dương Ngọc Huyền bạn ổn khong',14/07/2024
458, 'Thu Phương bạn phải hỏi là trường tôi ổn ko chứ :))',09/07/2024
459, 'Trịnh Xuân Lộc',02/07/2024
460, 'Nguyệt Nga r u okey:>',30/10/2024
461, 'Kien Hoang xin 50k',12/09/2024
462, 'Phạm Phương Thảo Nguyễn Trang sầu',07/08/2024
463, 'Đình Hoàng Võ ổn ko',05/07/2024
464, 'Quỳnh Trang còn sống nhé',12/07/2024
465, 'Vũ Phương nao cho anh đi học ké nhó',31/08/2024
466, 'Bảo Long okee gái iu nhó',26/09/2024
467, 'Vũ Phương ăn mặc bảnh bao đi học ké ngừi eo',29/10/2024
468, 'Cường PhanKhắc Tuấn',20/07/2024
469, 'Trung Hiếu',31/10/2024
470, 'Nguyễn Thọ Đạt',10/09/2024
471, 'Triệu Vy bn khoá d24 à',11/09/2024
472, 'Nguyễn Thọ Đạt khoá nào mà ny bn ớ',17/10/2024
473, 'Hoàng Minh Anh',22/09/2024
474, 'Lê Thị Mai Hương',14/09/2024
475, '',14/07/2024
476, 'Yến Nhi',13/07/2024
477, 'Tôi yêu trường của tôi',25/10/2024
478," ""Nguyễn Kim Nhật Minh i'm sorry""",11/09/2024
479, 'Vch'],24/07/2024
480,['Còn nguyên thật nè =))',10/10/2024
481, 'học viện tỷ đô'],23/07/2024
482,[],16/08/2024
483,[],06/08/2024
484,[],10/09/2024
485,['Bạn nào vô tình va phải QR thì cap lại rồi cmt cho mọi người chia vui nhé. Đừng quên quét nhanh kẻo biến mất,24/08/2024
486, cơ hội vụt qua',11/09/2024
487, 'Học viện Công nghệ Bưu chính Viễn thông - PTIT QUÊN MK R H SAO ĐÂY A',05/07/2024
488, 'NÓNG: cú quét mã đầu tiên đến từ N.Q.T.A sinh viên D23,15/09/2024
489, đẳng cấp là đây',21/10/2024
490, 'Chơi game xanh chín nào các bạn ơi. 5 bạn nghi vấn hack điểm về 0 trải nghiệm từ đầu nhé',12/10/2024
491, 'đề cử Game of the year',09/10/2024
492, 'Quả game cho quả mê cung khó điên',20/08/2024
493, 'Trương Quốc Bảo hãy để ý những thứ xung quanh ngoài tường trắng để tưởng tượng ra sơ đồ nhé. Cố lên',30/08/2024
494, 'Trương Quốc Bảo đâu cũng có mặt :<',04/11/2024
495, 'Game có đánh boss hay sinh tồn chạy bo ko ạ',27/08/2024
496, 'game đỉnh vl mấy con gà biết gì',17/08/2024
497, 'Đinh Sơn Tùng mê thật,12/08/2024
498, tôi chơi k biết chán',25/09/2024
499, 't cần 1 video giới thiệu cách tải :)) t quá là mù công nghệ rồi',03/07/2024
500, 'Thanh Tâm mac đúng k mac thì k chạy dc đâu\nCài win giả lập ấy :)))\nToi vừa cài xong',23/09/2024
501, 'Nguyễn Huyền thoi t từ bỏ rồi :)))',11/07/2024
502, 'Thanh Tâm … trải nghiệm thì vô số nma cài win thì nguyên buổi chiều :)))',10/07/2024
503, 'Thanh Tâm cài win ảo vào máy đi tâm',17/10/2024
504, 'Hườngg thoi lười lắm :))',06/08/2024
505, 'Game này có PvP không ạ',11/08/2024
506, 'Nguyen Anh Tuấn có pvp bản reality bạn nhé',09/07/2024
507, 'Nguyen Anh Tuấn đòi hỏi quá vậy',02/11/2024
508, 'Nhân vật của em vừa đói vừa bị kẹt trong mê cung,18/07/2024
509, cứu em với',22/07/2024
510, 'Trường tâm lý thật đang học onl tung quả game này',27/10/2024
511, 'mình muốn nạp để đua top thì vào link nào ạ',25/08/2024
512, 'Thứ tôi cần là 1 em NPC animi chứ này trông creepy quá đi à :>',06/11/2024
513, 'chs đc trên đt k ạ',30/08/2024
514, 'ai làm video walkthrough đi xem ké :))',17/08/2024
515, 'huhu ăn quả ngất trừ point căng quá',30/10/2024
516, 'Game có sơn skin tăng dame ko ạ',12/08/2024
517, 'Bui Thanh Son phai phai à =)))',02/08/2024
518, 'Bui Thanh Son khả năng phải săn boss lấy điểm rèn luyện,10/07/2024
519, nạp thẻ cường hóa thẻ sinh viên lên bạc kim cương các kiểu nữa',20/10/2024
520, 'Nguyễn Thế Quý :))) Nạp lần đầu có được trang bị siêu cấp tối thượng,20/07/2024
521, 5 triệu điểm sức mạnh,10/09/2024
522, vũ khí hiếm khum',10/08/2024
523, 'Có link nạp k shop',06/09/2024
524, 'CHÚNG TA CÓ PỜ TÍT SIMULATOR TRƯỚC GTA 6',29/08/2024
525, 'Như Nguyễn Hà :))))))) t se xoa pub doi sang cay rank nay',03/11/2024
526, 'Game có nạp lần đầu ko ạ',28/08/2024
527, 'k đăng nhập dc:))',17/09/2024
528, 'Game có nạp vip kiếm qr code vip buff đrl k để e kêu cno nạp :)))',12/09/2024
529, 'game này có những gamemode gì ạ',08/09/2024
530, 'game có multiplayer không ạ =))',03/07/2024
531, '=)))) trường thú vị quá ạ',29/07/2024
532, 'Có nạp lần đầu k v',15/10/2024
533, 'GTA 6 gọi bằng cụ',21/08/2024
534, 'Có nạp lần đầu không ạ',14/10/2024
535, 'Thế là khỏi sợ thiếu đrl',23/09/2024
536, 'Confession mới cho mn muốn hỏi gì mà ngại nhee\nLink Page bên dưới',20/08/2024
537, 'choi chong mat vl cuu',13/09/2024
538, 'Đc liên hệ nhận quà này quen quá :))))',27/10/2024
539, 'Đậu Đậu ơ kìa fen =))))',03/08/2024
540, 'Admin ơi mã sinh viên của e ai lấy r ấy. Vô đki nó bảo bị trùng mã sv',12/10/2024
541, 'Ad ơi e đến phần đăng nhập nhận qr rồi nhưng ko bấm được thì làm sao ạ',08/07/2024
542, 'Game cut scene 5p không skip nên em đánh giá 1 sao nhé',05/10/2024
543, 'các ngài cho e hỏi vị trí của 15 sao ạ,30/09/2024
544, em tìm thấy có 14 cái',14/07/2024
545, 'Phạm Quốc Tuấn xung quanh trường + 2 cái trong mê cung = 14 cái pko',09/08/2024
546, 'Nguyễn Thế Dương ko tính 2 cái trong mê cung luôn á',18/08/2024
547, 'Không đăng nhập được shop ơi',19/08/2024
548, 'Chs đc trên đthoai k ạ',26/08/2024
549, 'The Sims bản lỗi',04/08/2024
550, 'Nạp vip ở đâu ạ :)) với em lỡ cắt cụt cái thanh stamina đi chắc là vẫn tính hợp lệ nhỉ',04/11/2024
551, 'file có hình toà A2 là cái File nào vậy huhu trường ơii',14/09/2024
552, 'có hách inf điểm rèn luyện ko a',20/09/2024
553, 'Không tải được ạ',20/09/2024
554, 'Độc lạ PTIT',02/09/2024
555, 'Ko cướp xe đc ạ',04/09/2024
556, 'đọc lạ prir',03/11/2024
557, 'Em tiền đình sau khi giải mê cung',09/10/2024
558, 'trông sợ sợ thé ạ',26/07/2024
559, 'Sao file tải nó k chạy v ạ',06/08/2024
560, 'Mê cung khó quá phải bug thôi :)))',05/08/2024
561, 'cày rank cày rank',04/10/2024
562, 'Lưu Phương giống game của illusion thế nhỉ',14/09/2024
563, 'Nguyễn Trung Đức học viện tạo matrix cho sinh viên à?',07/08/2024
564, 'Nguyễn Trung Đức hoài niệm k e',03/09/2024
565, 'Nguyễn Toàn ám ảnh vl :))',14/07/2024
566, 'Dùng mac tải kiểu gì vậy mn',05/11/2024
567, 'TunahNot Tuna cho ng tối cổ tìm tựa game nè =))',14/10/2024
568, 'Ngọc Trâm thánh kìu',04/10/2024
569, 'Đã ngắm trường trực tiếp giờ còn có phải ngắm trường online nữa à :)))',25/09/2024
570, 'kiếm mãi đc hơn 200 trừ phát còn có trăm quá căng r ai biết cách cày không chỉ em với ạ',03/11/2024
571, 'Mã này là 1.4 ạ?',31/10/2024
572, 'Hạnh Hồng đúng r em',19/08/2024
573, 'Tâm Nguyễn mình thêm cả 2.3 nữa được kh? Em đang thiếu 2.3 trầm trọng',17/10/2024
574, 'Tâm Nguyễn cho e xin key với :>',24/07/2024
575, 'Nguyen Manh Tan =))) yêu trường đi em,27/07/2024
576, tự chơi đi làm gì có key',16/08/2024
577, 'Tâm Nguyễn em yêu trường r,04/08/2024
578, chị cơ cấu key cho em iii',17/10/2024
579, 'Hạnh Hồng t không tải đượccc,22/10/2024
580, giải nén xong nó ra cái gì ấy đù má',12/07/2024
581, 'Thanh Tâm người chơi hệ Mac làm sao mà hiểu đc',19/09/2024
582, 'Hạnh Hồng chả lẽ lại cài win về máy thì lại lòng vòng',10/08/2024
583, 'Nguyễn Văn Quý sếp bảo mac thì ngồi lướt fb đi thôi :)))',20/10/2024
584, 'Hạnh Hồng có mã cho bạn với nhé',27/07/2024
585, 'Mai test lại,06/11/2024
586, t chưa biết chơi',01/08/2024
587, 'Hạnh Hồng còn t thì chưa tải được :)))',01/07/2024
588, 'góp ý là game giật giật như faifai nha ad\ncác gameplay quá mất tg để có thể chơi',18/09/2024
589, 'Đây rồii',17/09/2024
590, 'Thông Chu cày game này đi cậu',06/07/2024
591, 'Thiện Đinh game of the year',06/11/2024
592, 'Thông Chu bmw tuổi',17/10/2024
593, 'Goty 2024 đây rồi',06/11/2024
594, 'Nguyễn Thế Chiến anh ơi gêm này có quảng cáo ko anh',11/07/2024
595, 'Hồng Phúc Nguyễn Phương Thảo Phòng đổi thành game này chơi đi',02/10/2024
596, 'Yến Vy b thấy sao =))))))',28/09/2024
597, 'Nguyễn My B còn ko giải nén đc\nMuốn thử ko bro',10/08/2024
598, 'Yến Vy nhà cửa bạn đỡ lụt tôi sang ngủ trưa chứ nén nủng gì =))',27/08/2024
599, 'Cho nhân vật ăn kiểu gì',22/10/2024
600, 'Quỳnh Chi đua top đi....\nRồi lấy quà cho bố nhé con',05/07/2024
601," ""Vu Thu Hienn dm cho vào cái mê cung đi hết 6' vẫn về vị trí ban đầu=)))""",07/08/2024
602, 'Quỳnh Chi trg ác=))',08/07/2024
603, 'Nguyễn Minh trường m chất v',09/09/2024
604, 'Quê mật khẩu thì sao ạ',06/09/2024
605, 'Tran Tiến Anh em này kiếm được mấy mã qr rồi?',11/08/2024
606, 'Cần lắm chỗ đổi mk',22/09/2024
607, 'sao game e vào nó cứ bị ở mh chờ',26/09/2024
608, 'Tải kiu j z mn',14/08/2024
609, 'goty 2024',18/10/2024
610, 'Đặng Thái Sơn ? Vua trò chơi ko thấy trên bxh vâyh',21/08/2024
611, 'Kim Jong Hiệp ngạo nghễ trường có game cày rank kiếm điểm rl',20/09/2024
612, 'Đinh Quang Huy leo rank cày điểm rèn luyện thôi em',08/09/2024
613, 'Pham Huy game này xứng đáng goat',22/10/2024
614, 'Mạnh Quânn leo rank kiếm drl :))',03/11/2024
615, 'An Nguyễn vip chx drl là chuyện nhỏ :))',10/08/2024
616, 'Kính Thành b rank đồng 2 ah',20/09/2024
617, 'Nhat Ngo Hong còn chưa đủ cấp có rank cậu ơi',12/09/2024
618, 'Nguyễn Quân này cày rank',03/07/2024
619, 'Phương Nhi Ngô lên cao thủ chưa bé',10/10/2024
620, 'Phạm Hiếu cho tk nhân vật ăn kiểu gì vậy a e sắp ngất chết đói r,20/09/2024
621, nhiều bug quá',14/07/2024
622, 'Quang Huy nạp tiền để hồi sức a nhé',21/09/2024
623, 'Lê Hải chơi game còn có điểm rèn luyện',06/09/2024
624, 'Phạm Hùng Nguyễn Long vào nhót top 3 nào các tình yêu',23/07/2024
625, 'Đặng Duy Khánh :))))) nganh game nay',02/07/2024
626, 'Hải Triêu này anh',26/09/2024
627, 'Tuan Quoc leo rank kìa',30/07/2024
628, 'chả',28/10/2024
629, 'Đức Tài Đỗ Hoàng Phúc bỏ liqi đi bạn,10/09/2024
630,cày cái này này',26/08/2024
631, 'Xuân Đạt ngao nghe ptit',07/07/2024
632, 'Đỗ Danh Dũng chacchannanhuzayzoi',04/09/2024
633, 'Nguyễn Thanh Tùng bỏ cày LQ thôi',02/08/2024
634, 'Nguyễn Thị Hải Duyên khó đấy',07/07/2024
635, 'Hà Linh Nhi Nguyễn Tiến Hải 2 vua trò chơi thử sức xem(?)',08/09/2024
636, 'Phương Su kì trc điểm t yếu kém nha',11/07/2024
637, 'Nguyễn Văn Hoàng cũng ít trò lắm',30/08/2024
638, 'Đào Xuân Mai phòng CT&CTSV đỉnk ma',19/10/2024
639, '---{ Audience }---\n☐ Kids\n☐ Teens… Xem thêm',31/10/2024
640, 'Bui Phuc',22/08/2024
641, 'Bui Phuc',25/10/2024
642, 'Bui Phuc Láo vocung',25/07/2024
643, 'Nguyễn Khải làm thử đi',16/10/2024
644, 'Duc AnhTrần Nam leo top thoi cac em',17/10/2024
645, 'Nguyên An quit',27/07/2024
646, 'Duc Anh +1',27/08/2024
647, 'Chu Quang Long tải đi mai chơi',09/07/2024
648, 'Hương Giang Lê Vương Hồng Hạnh săn đrl kì',11/08/2024
649, 'Trần Linh k giải nén đc tập tin bay oi',14/07/2024
650, 'Trần Linh Bỏ lq r cày game này đi m',24/09/2024
651, 'Hương Giang Lê game này ko chửi nhau giống lq đc',01/09/2024
652, 'Đô Duy Quân Nguyễn Lâm Vĩ Nguyễn Quang Huy đua top thôi :)))',27/10/2024
653, 'Thạch Văn Khiêm nhanh kẻo mất top',23/07/2024
654, 'Game có hệ thống nạp lần đầu,06/07/2024
655, nạp vjp sơn sì kin tăng dmg,10/10/2024
656, tăng tỉ lệ nổ chí mạng điểm rèn luyện không ạ\nEm hỏi hộ thằng bạn',29/10/2024
657, 'Chất Lỏng Phi Newton Thư Minhh lên ae',20/09/2024
658, 'Tố Uyên đây nè đây nè',29/09/2024
659, 'Dương Ah Ngũ độc lạ k bạn',19/07/2024
660, 'Thế Hùng leo rank thoi b',03/09/2024
661, 'Nguyễn Văn Giáp làm đi',24/08/2024
662, 'Hoàng Hảo crash game cmnr',12/09/2024
663, 'Linh Nhi cày cho tao',22/10/2024
664, 'Ng Đức Nguyễn Minh Tunấ Kiệt gô',28/09/2024
665, 'Nguyễn Quốc Huy cút',08/08/2024
666, 'Nguyễn Quốc Huy được cộng điển rèn luyện à',01/09/2024
667, 'Nguyễn Hạnh absolute cinema',05/11/2024
668, 'Nguyen Phong tuyet doi dien anh',10/07/2024
669, 'Trần Tiến Dũng kìa',28/08/2024
670, 'Lê Bảo ko chạy đc',18/07/2024
671, 'Trần Dũng test di eim',18/10/2024
672, 'nạp lần đầu được vip mấy thế shop?',04/11/2024
673, 'Duy Khánh có nạp lần đầu không thầy',19/07/2024
674, 'Nguyễn Doanh nào nào,15/08/2024
675, để im cho admin thở =))) lộ liễu thế này chết',15/09/2024
676, 'Duy Khánh Em thấy phần liên hệ quen lắm',28/07/2024
677, 'Nguyễn Dược Anh Minh',21/08/2024
678, 'Cung Đạt oge',28/10/2024
679, 'Quang Ngoc Nguyen',08/10/2024
680, 'Nguyen TMinh Nguyet',23/10/2024
681, 'Xuân Bách',18/08/2024
682, 'Phương Thuỷ',29/09/2024
683, '???',04/08/2024
684, '?',23/09/2024
685, 'Thế Văn',05/07/2024
686, 'Lê Văn Giáo',01/07/2024
687, 'Lê Trúc nghịch linh tinh. Tải về cho nhím vs sóc làm thay cụ đi',07/08/2024
688, 'Ngọc Huyền Trần Linh',22/10/2024
689, 'Sang Trần mơ',21/08/2024
690, 'Bùi Ngọc Linh ê ê',30/08/2024
691, 'Hồ Thị Thanh Hoa chúc m may mắn',04/10/2024
692, 'Bùi Ngọc Linh cái t chú ý là QR đrl',04/11/2024
693, 'Hồ Thị Thanh Hoa cố lên,30/10/2024
694, học viện sẽ mỉm cười với bạn thoi ><',02/11/2024
695, 'Shiro Neko( :',13/09/2024
696, 'Hirosaki Kusaka thấy r ;-;',16/09/2024
697, 'Shiro Neko Tag để mở bằng lap : D',03/11/2024
698, 'Quang Huy Vũ',08/10/2024
699, ':))',04/07/2024
700, 'Lê Đức Thọ',06/11/2024
701, 'Trần Đình Anh ?',19/08/2024
702, 'Kiên Jong Un kiểu chi cũng phải có điểm rèn luyện',25/09/2024
703, 'Trần Đình Anh Qr trong tay nhận ngay điểm 10 à',09/09/2024
704, 'Hưng Hoàng ê',27/09/2024
705, 'Game này có chơi đc trên đt k ạ',27/09/2024
706, 'Ad ơi e đến phần nhận qr rồi nhưng bấm lại phải đăng nhập thì làm sao ạ',04/11/2024
707, 'Xuân Đạo có bản hack k',09/07/2024
708, 'có mút nót =))',15/08/2024
709, 'Nguyễn Đức Thắngng',15/08/2024
710, 'GOTY 2024',15/07/2024
711, 'Đức Phan ptit in my mind',21/10/2024
712, 'Đỉnh điên,29/07/2024
713, học phí 1tr/tín cũng nguyện học',01/07/2024
714, 'Ánh Dương Nguyễn Thanh dô fen',25/08/2024
715, 'Trần Huy check',05/07/2024
716, 'Nguyễn Phạm Yến Bình. Độc lạ',19/07/2024
717, 'Tấn Vân Minh ... :))'],05/07/2024
718,[],14/08/2024
719,[],10/07/2024
720,['Sinh viên giờ giống khách hàng nhỉ. Em có nguyện vọng hay đóng góp gì thì liên hệ trực tiếp với Học viện nha\nVề chất lượng đào tạo của các Khoa,16/09/2024
721, ngành,23/09/2024
722, chương trình đào tạo đã có các đơn vị thẩm định đánh giá chất lượng.\nTự do ngôn luận là con dao h… Xem thêm',07/07/2024
723, 'Duy Khánh bạn cứ bị lói chuẩn thế nhẩu',31/08/2024
724, 'nhắn tin,05/08/2024
725, gọi điện mà trường không trả lời luôn á:)) mãi chê... mà biết sao giờ,04/10/2024
726, lỡ đóng học phí r mà:)))',04/09/2024
727, 'Thôi thì chúc may mắn trong 5 năm tới nhé =)))',30/08/2024
728, 'Ủa chuyện quá bình thường ở trường luôn ấy. Không đọc review à',02/10/2024
729, 'quả điểm chuẩn thì đúng là muộn thật nhưng muộn so với trường khác chứ kh muộn deadline nên cũng kh trách được =))) trường hợp lỗi hệ thống thì trộm vía t kh dính,17/10/2024
730, cái mà hồ sơ kh hợp lệ t chỉ dính lúc trường chưa công bố điểm chuẩn th =))) muộn so với… Xem thêm',24/08/2024
731, 't vẫn đang yêu trường nên mốt có gì t chửi sau hihi =))) trong chăn mới biết chăn có rận đâu trường nào hoàn hảo được 100%',21/07/2024
732, 'trường k có nhiều điểm đâu.em trừ thế này chắc âm cmn mất :))',16/10/2024
733, 'Kỳ sau giật đc cái hb là lại yêu trường ngay ý mà ,01/07/2024
734, yên tâm',24/10/2024
735, 'Chê rất nhiều từ các cựu sinh vien nhưng các bạn vẫn đâm đầu vào học thì chịu thôi chứ trách ai :))',07/07/2024
736, 'Ai sợ thì đi về,16/07/2024
737, ko nhập học',05/11/2024
738, 'Đinh Thắng Tuân Đỗ trường P thật đáng sợ',08/07/2024
739, 'Trần Phong bạn code lại cái web cho trường đàng hoàng đi bạn',22/08/2024
740, 'Trần Phong mãi yêu PTIT',03/11/2024
741, 'ủng hộ bạn thi lại nhé,23/08/2024
742,mình hèn lắm',23/08/2024
743, 'Chuyện bình thường thôi',18/10/2024
744, 'Các gương mặt mới của group Hội anti HV công nghệ BƯU ĐIỆN đã xuất hiện:>',25/09/2024
745, 'Vắng mợ chợ vẫn đông',16/09/2024
746, 'Quỳnh Em c bảo c yêu trường cho mn tin đi =))',21/08/2024
747, 'Ngh Hiền Mai Hạnh yêu trường vl huhu:))',28/08/2024
748, 'Hà Phương yêu mà :))',06/10/2024
749, 'Thắng Đỗ Đức',06/11/2024
750, 'K học thì cút. Kêu kêu cái nồn'],05/11/2024
751,['link không vào được ad ơi',03/10/2024
752, 'Hoàng Nguyễn CIE đã nhắn tin hỗ trợ em. Em check nhé'],26/10/2024
753,[],10/10/2024
754,['???',23/09/2024
755, 'Tran Quoc Anh hoang mang quá ạ',07/07/2024
756, 'Dvan Được ngáo luôn',13/10/2024
757, 'Game khó quá ai làm video walkthrough đc ko @@',17/09/2024
758, 'Dạ vâng em biết lỗi rồi',18/07/2024
759, 'Trần Diễm Kiều dối trá',05/10/2024
760, 'Đàm Quốc Hiệu một phút lầm lỡ:(((',17/08/2024
761, 'Trần Diễm Kiều chuỵ hư qué chuỵ oi',28/10/2024
762, 'Em xin lỗi mà trời ơi',16/08/2024
763, 'Văn Hoàng sáng nay vừa quét xong',27/09/2024
764, 'Trần Tú kh khác nhau',28/10/2024
765, 'Văn Hoàng trời huhu',26/09/2024
766, 'Trần Ngọc trời huhu',17/10/2024
767, 'Game như hạch,12/10/2024
768, đăng nhập còn đéo vào đc',08/09/2024
769, 'Hoàng Trần Phong có vào đc đâu',14/08/2024
770, 'Cao Nguyen tải ve chơi đc méo đâu',18/07/2024
771, 'Diệu Linh cô gửi cho tôi đk',02/07/2024
772, 'Anh Duong tôi cx đc nhận từ ngkhac mà,16/08/2024
773, zô tội',13/09/2024
774, 'Diệu Linh hóa ra muốn chết chung',07/07/2024
775, 'Anh Duong\ncoá bit gì đâu',14/10/2024
776, 'Rất lòng vòng',18/09/2024
777, 'Tạm biệt game',01/07/2024
778, 'Le Hiep pp',10/07/2024
779, 'hóng video speedrun',10/07/2024
780, 'rial',21/09/2024
781, 'em ko giải nén dc file ai lên video hướng dẫn dc ko ạ',04/11/2024
782, 'Trần Phương Khang hả hoang mang v',06/08/2024
783, 'Khánh Linh cố cày game thôi b',17/08/2024
784, 'Em còn cái mê cung thôi có được không sốp ơi',21/10/2024
785, 'chừa rồi:)',19/10/2024
786, 'Trương Công Chiến sau chừa',27/10/2024
787, 'Qr ngoài map',19/07/2024
788, 'im sorry',10/07/2024
789, 'chơi kỉu gì v ạ',30/08/2024
790, 'Phải chơi xong mới được quét mã ạ',10/07/2024
791, 'Chơi kiểu gì thế ạ ;)))',26/07/2024
792, 'Ngô Lê Lộc Việt ét ô ét anh ơi',01/07/2024
793, 'An An chưa đánh đã khai',12/09/2024
794, 'Thảo Ly :(( th để cày game',01/10/2024
795, 'An An 1/2 trong số đấy là pt04',07/10/2024
796, 'Bùn',31/10/2024
797, 'Phan Đạt tội quét k gửi t',12/10/2024
798, 'Phan Đạt trả giá đi !',22/09/2024
799, 'Khanh Toan trân trọng',30/08/2024
800, 'Nguyenn Anh Tu thích crack game k',01/10/2024
801, 'Đặng Đức Tài sisi',30/07/2024
802, 'em xin lỗi',30/10/2024
803, 'bye',07/07/2024
804, 'Chu Minh Đức Nghĩa',17/09/2024
805, '?',23/09/2024
806, '???',23/08/2024
807, 'Mỹ Duyên e xl',24/07/2024
808, 'Bùi Hiệp -1 đrl',11/08/2024
809, 'Mỹ Duyên kim bài bất tử lớp phó=)))',13/07/2024
810, 'Bùi Hiệp có chức có quyền =)))',09/10/2024
811, 'Hồng Ngọc',09/08/2024
812, 'Trần Như Quỳnh có cái đrl mà nhọc quá',20/07/2024
813, 'Phạm Linh Thảo có ae mình không =)))',17/07/2024
814, 'Nguyễn Ngọc Tuấn Bình khả năng...',06/11/2024
815, 'khả lăng khả lăng :)))',30/09/2024
816, 'Nguyễn Ngọc Tuấn Bình mình chơi là đc mà',28/09/2024
817, 'Đinh Thị Thanh Tâm phải chơi game th',12/08/2024
818, 'Hải Yến mình skip bước đầu :))',02/11/2024
819, 'Quỳnh Vũ',05/07/2024
820, 'Đào Hà My chừa chưa =)))',22/09/2024
821, 'Nguyễn Khánh dạ e chừa rồi',13/08/2024
822, 'NT Bình',03/09/2024
823, 'Thu Hiềnn xin lỗi ạ',11/08/2024
824, 'tại sao npc đẹp trai mà tsv xấu trai vậy thật là bất công',06/09/2024
825, 'Nguyễn Lê Kanh ẩu'],21/10/2024
826,['',11/10/2024
827, 'Học PTIT dễ lắm',05/11/2024
828, 'Dễ học lại ha',15/09/2024
829, 'Thật không để đi đồn',02/09/2024
830, 'Phạm LannAnhh Nguyễn Nhung dễ cho trường thành tone cam cháy',16/10/2024
831, 'Ad có phét k taa???',17/09/2024
832, 'Dễ mất tiền :))',26/08/2024
833, 'Thk nào đồn',16/09/2024
834, 'dễ học lại',24/10/2024
835, 'lùa gà nè',01/07/2024
836, 'Dễ đóng mấy củ hã :))'],27/09/2024
837,['',04/09/2024
838, 'Trường tăng học phí\nChắc chào tân mời J97 rồi',27/09/2024
839, 'riel',09/08/2024
840, 'đúng gu owO',02/11/2024
841, 'Cường Nguyễn chồng chị mà dám tranh à e',22/08/2024
842, 'Ngô Thị Hồng Hạnh m tranh chồng t à con lợn này',09/08/2024
843, 'Vipppp',29/10/2024
844, 'Hà Kim Dung mua lightstick đi quẩy đi dung',09/09/2024
845, 'Bích Ngọc dung đặt 1 bì ròi,22/09/2024
846, chia mỗi ae mỗi cái =))',06/11/2024
847, 'Hà Kim Dung cả lò cảm ơn Dung',21/10/2024
848, 'mua lightstick thôi',14/08/2024
849, 't mua sẵn 3 cái lighstick rồi chỉ chờ a jack thôi',16/08/2024
850, 'Minh Quân bán rẻ cho 1 cái đi chú',10/07/2024
851, 'Minh Quân ... của m cx to đấy nhỉ cắm đc 3 cái luôn mà',05/08/2024
852, 'trg éo đần đến z đâu',06/08/2024
853, 'Mỗi ngành tăng 5 củ là vừa',01/10/2024
854, 'Xuyến Chi chi thích lắm',05/10/2024
855, 'Hương Diệu mê',29/10/2024
856, 'Xuyến Chi đum đúm thích mê',28/07/2024
857, 'Đinh Nam mua lightstick chưa còn dùng',05/07/2024
858, 'Bach Vinh ổn k a',03/10/2024
859, 'Tuấn Phùng mua lightstick chưa còn vẫy :)))',07/08/2024
860, 'Giang An Lan này phải 2 cái 2 tay =))',01/10/2024
861, 'Mai Hoa thiên lý ơi em có thể ở lại đây không',24/10/2024
862, 'Đoàn Thảo đã he,24/08/2024
863, đã he,13/09/2024
864, mua lightstick chưa',11/07/2024
865, 'Mai Hoa ch j đã thấy phát sáng',10/10/2024
866, 'Nnguyễn Đức Thuận tăng 1tr học phí phải tặng free mỗi em 1 lai sờ tích chây 97',08/08/2024
867, 'Trần Linh nghinh về lm đèn học soi sáng tươq lai',27/10/2024
868, 'Đoàn Thảo thiên lý ơi',18/09/2024
869, 'Hồng Ngát mê nha mê nha',18/07/2024
870, 'Đoàn Thảo cho tiền mua lightstick dẩy đê',07/08/2024
871, 'Hồng Ngát ăn c*op đi',18/07/2024
872, 'Đoàn Thảo học thuộc bài trc đi',30/09/2024
873, 'Mua lightstick J97 dần thôi',26/09/2024
874, 'Lê Quang Mạnh Đóm chúa cũng cần mua ư,08/10/2024
875, tưởng anh J tặng cho chứ',22/07/2024
876, 'Bùi Hồng Hà anh J bán lightstick còn có tiền mà chu cấp cho con mà,09/10/2024
877, nên ảnh k cho dc',22/10/2024
878, 'Hải Bùi thiên lí ơi',28/08/2024
879, 'Nguyễn Hiếu chịu',19/09/2024
880, 'Nam Phương mê',22/10/2024
881, 'Lan Anh Metawin iu iuu',01/10/2024
882, 'Thùy Linh elm hối hận ch,06/10/2024
883, trc bảo tài trợ cho cái lighstick thì khum cần,05/10/2024
884, sắp tới trg mời anh rách zề kìa',30/08/2024
885, 'Yến Phạm thôi bỏ album soobin để mua lighstick',22/10/2024
886, 'Thùy Linh quá muộn r em ạ,07/08/2024
887, chị đã chốt đơn,31/08/2024
888, hết ngân sách dành cho anh rách r',16/10/2024
889, 'tự nhiên thấy mông phát sáng'],21/09/2024
890,['Đến Thư viện học bài thui nào các bạn ơiiiiii',18/07/2024
